id,name,symbol,sector,industry
-1,Unidentified Stock,N/A,"",""
0,Unknown,NA,"",""
1,Autodesk Inc,ADSK,INFORMATION TECHNOLOGY,SOFTWARE
2,Akorn Inc,AKRXQ,HEALTH CARE,PHARMACEUTICALS
4,CF Industries Holdings Inc,CF,MATERIALS,CHEMICALS
5,Crocs Inc,CROX,CONSUMER DISCRETIONARY,APPAREL & LUXURY GOODS
6,Centillum Communications Inc,CTLM,INFORMATION TECHNOLOGY,SEMICONDUCTORS
7,Dell Inc,DELL,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
8,Focus Enhancements Inc,FCSE,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
9,Flowserve Corp.,FLS,INDUSTRIALS,MACHINERY
10,Gametech International Inc,GMTCQ,CONSUMER DISCRETIONARY,LEISURE GOODS
11,Hornbeck Offshore Services Inc,HOSSQ,ENERGY,ENERGY EQUIPMENT & SERVICES
12,Hexcel Corp,HXL,INDUSTRIALS,AEROSPACE & DEFENSE
14,Jazz Technologies Inc,JAZ,INFORMATION TECHNOLOGY,SEMICONDUCTORS
15,McDermott International Inc,MDRIQ,ENERGY,ENERGY EQUIPMENT & SERVICES
16,Monsanto Co. (New),MON,MATERIALS,CHEMICALS
17,Nov Inc,NOV,ENERGY,ENERGY EQUIPMENT & SERVICES
18,Opnext Inc,OPXT,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
19,Orbital Sciences Corp,ORB,INDUSTRIALS,INDUSTRIALS
20,Oracle Corp,ORCL,INFORMATION TECHNOLOGY,SOFTWARE
21,Blackberry Ltd,BB,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
23,Western Union Company,WU,FINANCE,CONSUMER FINANCE
24,Acusphere Inc,ACUS,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
26,F5 Inc,FFIV,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
27,NovelStem International Corp,NSTM,COMMUNICATIONS,ADVERTISING
29,JAZZ TECH INC WTS,JAZ-WT1,"",""
32,Penwest Pharmaceuticals Co,PPCO,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
33,QuidelOrtho Corporation,QDEL,HEALTH CARE,HEALTH CARE SUPPLIES
34,SkillSoft Plc,SKIL,INFORMATION TECHNOLOGY,INTERNET & IT SERVICES
37,AXT Inc,AXTI,INFORMATION TECHNOLOGY,SEMICONDUCTORS
38,Bare Escentuals Inc,BARE,CONSUMER STAPLES,PERSONAL PRODUCTS
41,Core Laboratories Inc,CLB,ENERGY,ENERGY EQUIPMENT & SERVICES
42,CNET Networks Inc,CNET,INFORMATION TECHNOLOGY,INTERNET & IT SERVICES
43,Sonida Senior Living Inc,SNDA,HEALTH CARE,HEALTH CARE SERVICES
44,DIRECTV COM STK (DE),DTV,CONSUMER DISCRETIONARY,CONSUMER DISCRETIONARY
45,Enersys,ENS,INDUSTRIALS,ELECTRICAL EQUIPMENT
48,Jamba Inc,JMBA,CONSUMER DISCRETIONARY,RESTAURANTS
50,Lifecore Biomedical Inc,LFCR,MATERIALS,CHEMICALS
52,MRV Communications Inc,MRVC,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
53,Tailored Brands Inc,TLRDQ,CONSUMER DISCRETIONARY,RETAIL - SPECIALTY
54,ON Semiconductor Corp,ON,INFORMATION TECHNOLOGY,SEMICONDUCTORS
58,Wonder Auto Technology Inc,WATG,INDUSTRIALS,MACHINERY
59,Ciena Corp,CIEN,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
60,CLEARPOINT BUSINESS RESOURCES INC,CPBRQ,INDUSTRIALS,COMMERCIAL SERVICES & SUPPLIES
61,Clearwire Corp. Class A,CLWR,COMMUNICATIONS,""
62,Diana Shipping Inc,DSX,TRANSPORTS,SHIPPING
63,Eddie Bauer Holdings Inc,EBHIQ,CONSUMER DISCRETIONARY,RETAIL - SPECIALTY
64,Headwaters Inc,HW,MATERIALS,INDUSTRIAL METALS & MATERIALS
66,Iomega Corp,IOM,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
67,Merriman Holdings Inc,MERR,FINANCE,GENERAL FINANCE
68,Optium Corp,OPTM,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
69,Silicon Motion Technology Corp,SIMO,INFORMATION TECHNOLOGY,SEMICONDUCTORS
70,Dawson Geophysical Company,DWSN,ENERGY,ENERGY EQUIPMENT & SERVICES
71,TNS Inc,TNS,INFORMATION TECHNOLOGY,INTERNET & IT SERVICES
